,K01938,K01491,K13990,K00297,K00122,acs,K00625,K00925,apr,K00958,dsr,nif,nar,nap,nir,nrf,ure,glt,K01915,K03320,K00926,arg,mcr
272_31-Chi15_131-Stylotermitidae-Stylotermes_sp,1.220048905,1.590894787,1.164259205,1.753993094,1.274793925,1.883909281,2.070158247,1.743326044,0.991012776,0.621681037,0,2.49106102,0,1.560426462,0,1.114816575,2.036178604,2.393482888,1.783617737,1.737890874,0.8580235,2.075147493,0
230_02-AUS109-Kalotermitidae-Kalotermitidae_sp_E,1.889716371,1.682940596,2.199185483,1.915830186,0.793697371,2.747891498,1.734078117,1.977083748,0,0,0,2.584689329,0,1.80266572,0,0,0,2.19817038,1.276347448,1.862898639,0,1.531730237,0
230_24-THAI31-Kalotermitidae-Glyptotermes_sp_3,1.697806553,2.111637542,1.910084846,1.995564996,1.818355028,2.30045764,2.114516643,1.990786782,1.32370889,0.757489863,0.80903717,2.663394117,0.843356195,0.708534431,1.194634235,0,1.911690973,2.42175761,1.808644342,2.073100762,1.179031676,2.316533338,1.090252302
272_97-THAI114-Kalotermitidae-Glyptotermes_sp_1,1.446965565,0.879307869,0,1.295506229,0,2.029265025,2.116268188,1.749536765,0,0,0,2.386290104,0,0,0,0,1.755398425,2.123368695,2.023443256,2.020594231,0,1.849229265,0
301_55-H2-Kalotermitidae-Glyptotermes_Okinawa_h2,1.786748967,2.189560138,1.985819909,1.950461026,1.941923916,2.506333386,2.223437765,2.000063016,0.759801889,0,0,2.86298788,1.314384271,1.682772238,1.675797775,0,2.066103346,2.616626139,2.027138983,2.163086691,1.410467973,2.324809688,0
272_96-THAI112-Kalotermitidae-Glyptotermes,1.04614634,1.636378928,1.32001893,1.646749573,1.261965334,1.708686402,1.516286744,1.673841464,0,0,0,1.542229475,0,0,0.896087844,0,0,1.779439403,1.070821255,1.651118643,0,1.812608422,0
230_18-SING74-Kalotermitidae-Neotermes,1.892756103,1.98159393,2.043413612,1.92259759,2.01720251,1.575817335,2.083372014,1.928504151,1.217695065,1.273502818,2.03810086,2.668478363,2.108017187,2.213602799,0,1.519894996,1.805684806,2.478438943,2.239921371,2.179505682,1.773252644,2.213015401,0
301_10-AUS102-Kalotermitidae-Kalotermitidae_sp_H,1.636368444,2.086432316,1.942018665,2.029260425,2.002193942,2.13484093,2.222656032,1.979094386,0.927908996,0.925827214,1.058072409,2.627145508,0,0,1.88537037,0,1.768843614,2.320858773,1.920610648,1.839699035,1.12222381,2.253549416,0
301_20-AUS_91-Kalotermitidae-Kalotermitidae_sp_C,1.889518331,2.064732631,1.834601747,1.875304099,1.965016661,2.277417757,2.090547413,1.997467665,0.541624044,0.484159276,1.092112593,2.594795014,1.129947074,1.169550152,1.502985035,0,1.396454825,2.355888053,1.888767887,1.986507088,1.574186011,2.338413261,1.454432587
301_49-G678_2-Kalotermitidae-Rugitermes_sp_A,1.093517324,1.85391353,1.463885348,1.73839806,1.680197587,1.943213311,1.853719342,1.821747251,0,0.560015006,0,2.24448949,1.475966945,1.369042105,1.37962009,0,1.355315597,2.263335542,1.779931483,2.070660092,0.979832849,2.150031131,0
